Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A project manager joins a new multi-million-dollar project that requires deliverables from various departments to successfully implement. What should the project manager do first to successfully implement the project?,multiple-choice,Perform a stakeholder analysis and conduct detailed requirements sessions.,,Visit the client to ensure that all communication channels have been identified for key client stakeholders.,,Contract with an outside vendor who has already successfully delivered to the client.,,Immediately identify the best resources to work on the project.,,,,,,1,"In a complex project involving multiple departments, understanding who the stakeholders are and what they need is critical. Performing a stakeholder analysis and gathering requirements is the foundational first step.",
A manufacturing company is implementing a project to produce a new product using new technology and processes. Details of the component work packages have been defined and constraints for each component have been identified. Management would like to obtain a precise cost estimate of the project. What estimating technique should the project manager use?,multiple-choice,Three-point,,Parametric,,Bottom-up,,Analogous,,,,,,3,"Since details of the component work packages have been defined and management wants a precise cost estimate, bottom-up estimating is the best technique. It involves estimating the cost of individual work packages or schedule activities with the lowest level of detail.",
"A project manager completes a major IT deployment project. The project manager confirms with the release manager that all systems are working and that functionality has been verified by the quality assurance team. After informing the customer, what should the project manager do next?",multiple-choice,"Update the risk register, project stakeholders, and project team members.",,Verify and complete the release documentation.,,Update the organization knowledge base with the lessons learned.,,Close out the procurement plan.,,,,,,3,"During the Close Project or Phase process, after the deliverables have been accepted by the customer, the project manager should update organizational process assets, including the organization knowledge base with lessons learned, to ensure that future projects can benefit from this project's experiences.",
"The day before manufacturing is to start, a project manager learns that the engineering design was not accepted by the end user. What should the project manager do?",multiple-choice,Pause the project until the end user accepts the d,,Ask the end user to re-review the design while the project continues.,,"Engage with the end user on the process of design acceptance, and ensure that the project timeline is met.",,Update the stakeholder engagement plan to ensure acceptance buy-in from all stakeholders.,,,,,,3,The project manager needs to follow the design acceptance process that was agreed to. This is the best way to insure that the timeline is met.,
"A supplier has been awarded a firm fixed price (FFP) contract to provide various materials for a construction project. The contractor has received all pertinent documents relating to material standards and specifications. By contract, the supplier must deliver all materials to the construction site on a specific date. When the materials arrive at the site on time, what should the project manager do?",multiple-choice,Advise the procurement group that the contract has been fulfilled.,,Ask the finance department to pay the supplier's invoice.,,Inform the inspections group that new materials have arrived.,,Notify the team member responsible for handling materials of the arriving site.,,,,,,3,The delivered materials need to be verified to see if they are complete and correct.,
"During a project's execution phase, the project manager needs to quickly assign resources to build the team and meet project requirements on time. What should the project manager do next?",multiple-choice,Conduct a webinar.,,Conduct a series of workshops.,,Create library services.,,Train the new team.,,,,,,4,"Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. Training is a form of this.",
A new project manager joins a project overseen by a senior project manager. The sponsor asks the new project manager to develop the quality management plan. What should the project manager do?,multiple-choice,Ask the sponsor for cost-benefit analyses and benchmarking samples.,,"Consult with the senior project manager for established quality processes and plans, and ask for guidance in selecting the appropriate standards.",,Meet with the customer to collect requirements.,,Submit a change request to postpone the development of the quality management plan until quality metrics and quality checklists are created.,,,,,,2,The new project manager needs to consult with the senior project manager to find out what practices and processes are already in place.,
An important product feature was not documented during project planning. The customer notices the error during the second deliverable review. What should the project manager do?,multiple-choice,"Perform a high-level analysis of the missed feature, and ask for sponsor approval to execute.",,"Investigate the impact of the missed feature, and obtain change request approval from the change control board (CCB).",,Call an emergency steering committee meeting to determine whether to include the missed feature in the project.,,"Meet with the customer to discuss the missed feature, and negotiate a new contract price for the product.",,,,,,2,"The missing feature is needed, so the project manager needs to understand the impact of this and start the normal, agreed upon change management process.",
A company plans to deliver a new product that requires currently unavailable skills. On what should the project manager focus to initiate this project?,multiple-choice,Detailed project requirements,,Quality control,,Competitor Analysis,,Assessment of high-level risks,,,,,,4,"If you plan to deliver a product and do not possess the skills required, this is a risk.",
A project manager requires laptops for the project team to start the project. The contracted vendor notifies the project manager that they will be two weeks late on delivery. The project manager selects a replacement vendor that immediately supplies the laptops. Now the original vendor receives their shipment and bills the project in accordance with their contract terms. What should the project manager do next?,multiple-choice,"Attempt to negotiate with the original vendor, but be prepared to compensate them in accordance with the procurement management plan.",,Request additional funds to pay the original vendor and dispute the bill after the project is closed.,,"Dispute the bill because, regardless of the procurement management plan, the vendor missed the deadline.",,Return the laptops from the new vendor and accept the order from the original vendor to honor the original contract.,,,,,,1,"A contract should clearly state the deliverables and results expected, including any knowledge transfer from the seller to the buyer. Anything not in the contract cannot be legally enforced. Just because one party is not meeting their contractual obligations, it does not give the right for the other party to ignore theirs. You still may need to pay them in accordance with the agreement.",
"A project manager is working on a large project with numerous onsite and offsite team members. These team members also work on multiple other projects, which makes team updates challenging. The project manager is beginning to feel out of touch with the team. What should the project manager do?",multiple-choice,Organize communication training for the team.,,Propose that all teams members use a common communications tool for regular updates.,,Ask each team member to send a weekly email update with any issues and concerns.,,Hold a team-building event to improve the teams's morale.,,,,,,1,Communication on a project is key to project success and it is the job of the PM to ensure the team is well connected. Training accomplishes this.,
In the middle of a project a project manager performs a review of the quality of deliverables with the team. The outcome from that meeting is that several quality issues could have been avoided if they had used a simple checklist. The project manager then immediately institutes the checklist as part of the project for future deliverables. What did the project manager do in this situation?,multiple-choice,Performed integration change control,,Initiated a preventive action,,Initiated a correction action,,Conducted a lessons learned meeting,,,,,,3,Corrective Action is an intentional activity that realigns the performance of the project work with the project management plan. Anything you do as part of Corrective Action aims to benefit all future deliverables.,
Which of the following would be the most appropriate action to take during backlog refinement on an agile project?,multiple-choice,Adding new items to the backlog without discussing them with the team,,Removing items from the backlog without discussing them with the team,,Prioritizing items on the backlog without discussing them with the team,,Discussing and clarifying the details of items on the backlog with the team,,,,,,4,"In agile development, it is important to involve the team in decision-making and actively involve them in backlog refinement activities. This helps ensure that everyone has a shared understanding of the work that needs to be done and that the priorities of the backlog reflect the needs and goals of the project.",
A project manager on an agile project conducts daily-standups with the team. A team member who has not worked in Agile environments earlier wants to expand the scope of the daily standups to include more detailed discussion on planning and issue resolutions. Which of the following should the project manager mention to the new team member as the agenda for the daily standups?,multiple-choice,Discussing detailed design plans for upcoming work,,Resolving conflicts or issues that have arisen during the previous day,,Reporting progress on current work and identifying any obstacles,,Planning work for the rest of the week,,,,,,3,"Reporting progress on current work and identifying any obstacles. Daily standups, also known as daily scrums, are short meetings held every day in which team members discuss their progress and any obstacles they have encountered. They should be focused on what has been accomplished since the last standup, what will be worked on next, and any obstacles that need to be addressed. Detailed design plans, conflict resolution, and long-term planning are typically not appropriate topics for daily standups.",
"Which of the following would be the most appropriate action to take when defining the ""definition of done"" for an agile project?",multiple-choice,Ensuring that the definition of done covers every possible scenario and contingency,,Using the definition of done to set strict and inflexible requirements for completed work,,Neglecting to involve the team in the process of defining the definition of done,,Collaborating with the team to define a clear and concise set of criteria for determining when work is complete,,,,,,4,"Collaborating with the team to define a clear and concise set of criteria for determining when work is complete. The ""definition of done"" is a set of criteria that is used to determine when work on a product or feature is complete. It should be collaboratively defined by the team and should be clear and concise, rather than attempting to cover every possible scenario or contingency. It should not be used to set strict and inflexible requirements, but rather to provide guidance for the team and to ensure that work meets the necessary quality standards. It is important to involve the team in the process of defining the definition of done to ensure that it reflects the team's shared understanding of what constitutes complete work.",
A new project manager joins a project during the initiating phase. The sponsor notices that the project manager is new to agile ways of working and has mostly worked on projects that were done through the predictive approach. Which of the following should the sponsor highlight as the most important role of a project manager on an agile project.,multiple-choice,Dictating the tasks and priorities of team members,,Removing obstacles and facilitating communication within the team,,Holding team members accountable for meeting deadlines and budgets,,Making all decisions related to the project without consulting the team,,,,,,2,"Removing obstacles and facilitating communication within the team. In an agile project, the role of the project manager is to support the team in achieving its goals and delivering value. This may involve removing obstacles that are hindering the team's progress, facilitating communication and collaboration within the team, and helping to ensure that the project remains on track. A project manager should not dictate the tasks and priorities of team members or make all decisions related to the project without consulting the team. Instead, they should work with the team to identify and prioritize work, and help the team to remain focused and efficient. Holding team members accountable for meeting deadlines and budgets is also an important aspect of the project manager's role, but it should be done in a way that supports and empowers the team rather than imposing strict controls.",
Which of the following would be the most appropriate action to take when managing risk on a project?,multiple-choice,Ignoring risks and hoping they will go away,,Waiting until risks materialize before addressing them,,"Identifying and addressing risks proactively, as they are identified",,"Putting all efforts into minimizing risks, regardless of the impact on the project",,,,,,3,"Identifying and addressing risks proactively, as they are identified. Risk management is an important aspect of any project, and it is particularly important in agile projects where the focus is on delivering value and adapting to change. When managing risk on an agile project, it is important to identify and address risks proactively, as they are identified, rather than ignoring them or waiting until they materialize. This may involve developing contingency plans or taking other steps to mitigate or avoid risks. While it is important to minimize risks where possible, it is also important to balance the impact of risk management efforts with the overall goals and objectives of the project.",
A new project manager joins a project during the initiating phase. The sponsor notices that the project manager is new to agile ways of working and has mostly worked on projects that were done through the predictive approach. Which of the following should the sponsor highlight as the most important role of a project manager on an agile project.,multiple-choice,Dictating the tasks and priorities of team members,,Removing obstacles and facilitating communication within the team,,Holding team members accountable for meeting deadlines and budgets,,Making all decisions related to the project without consulting the team,,,,,,2,"In an Agile environment, the project manager typically assumes the role of a servant leader. Their primary responsibility is to support the team by removing impediments or obstacles and facilitating effective communication, rather than adopting a command-and-control approach commonly seen in predictive project management.",
Which of the following would be the most appropriate action to take when managing risk on a project?,multiple-choice,Ignoring risks and hoping they will go away,,Waiting until risks materialize before addressing them,,"Identifying and addressing risks proactively, as they are identified",,"Putting all efforts into minimizing risks, regardless of the impact on the project",,,,,,3,"Effective risk management is a proactive, ongoing process. Risks should be identified, analyzed, and addressed as early as possible to minimize threats and maximize opportunities. Treating risks reactively (waiting until they happen) or adopting a one-size-fits-all approach (minimizing all risks regardless of impact or cost) is inefficient and can harm the project.",
A project manager on an agile project is realizing that the project is going to be late due to addition of unnecessary features that were added to the product backlog. The team also has too many tasks that are clearly going to delay the planned final delivery date. Which of the following would be the most appropriate action to take when trying to minimize waste on an agile project?,multiple-choice,"Focusing on completing tasks as quickly as possible, regardless of quality",,Allowing unnecessary features or functionality to be added to the product,,Implementing strict processes and procedures that hinder the team's flexibility and adaptability,,Regularly reviewing and refining the work being done to ensure it aligns with the project goals and delivers maximum value,,,,,,4,"In Agile, one of the core principles is 'Simplicity—the art of maximizing the amount of work not done—is essential.' Minimizing waste means avoiding unnecessary features or tasks that don't add value. Regularly reviewing and refining the product backlog ensures the team focuses only on high-priority items that align with project goals, thereby avoiding wasted effort on low-value tasks.",
"A project manager is in the middle of an iteration and has identified a high-priority user story that needs to be completed before the end of the iteration. However, the team is already committed to several other stories that are not yet complete. What should the project manager do?",multiple-choice,Drop the high-priority user story and focus on completing the other stories,,Work overtime to complete the high-priority user story and the other stories,,Negotiate with the stakeholder to move the high-priority user story to a later iteration,,Re-prioritize the remaining stories and assign additional team members to the high-priority user story,,,,,,3,"In Agile, once an iteration begins, the iteration backlog is typically locked to protect the team from scope creep and allow them to focus on their commitments. If new work is identified, it should generally be placed in the product backlog for a future iteration. Negotiating with the stakeholder to move the story to a later iteration maintains the integrity of the current sprint while still addressing the stakeholder's need.",
"A team is in the process of planning their next sprint. During the planning meeting, a team member raises concerns about the scope of one of the user stories, stating that it will take significantly longer to complete than originally estimated. What should the project manager do?",multiple-choice,Ignore the team member's concerns and proceed with the original plan,,Work with the team to re-estimate the user story and adjust the sprint plan accordingly,,Remove the user story from the sprint and replace it with a different one,,Split the user story into smaller chunks and add them to multiple sprints,,,,,,2,"Because the team is still in the sprint planning meeting, the sprint hasn't started and the plan isn't locked. The Agile approach is to embrace new information. The team should collaboratively discuss the new insights, re-estimate the user story, and adjust the sprint plan based on the team's new shared understanding and capacity.",
A team has just completed an iteration and is about to start a retrospective meeting to review their progress and identify areas for improvement. One of the team members is consistently missing deadlines and their work is often of poor quality. What should the project manager do?,multiple-choice,Ignore the team member's performance issues and move on to the next iteration,,Confront the team member privately and try to resolve the issues one-on-one,,Raise the performance issues with the team during the retrospective meeting and try to identify a solution together,,Escalate the performance issues to your manager and ask for their guidance on how to proceed,,,,,,2,"Addressing individual performance issues should always be done in private first. Raising the issue in a team setting like a retrospective can embarrass the team member, damage morale, and destroy psychological safety within the team. The project manager should speak with the individual one-on-one to understand the root cause and help them improve before considering escalation.",
"A project manager of an agile project has noticed that one of your team members consistently takes on a larger share of the work and often stays late to help their teammates. However, this team member is often overwhelmed and appears to be struggling to keep up with the workload. As a servant leader, how should the project respond to the situation?",multiple-choice,Ignore the team member's struggles and continue as is,,Assign additional team members to help the overwhelmed team member,,Encourage the overwhelmed team member to delegate tasks to their teammates,,Work with the team to identify and eliminate unnecessary work to reduce the workload on the overwhelmed team member,,,,,,3,"In an Agile environment, teams are self-organizing and share collective responsibility for the work. If one team member is acting as a 'hero' by taking on too much work and becoming overwhelmed, a servant leader should coach them to distribute (or 'delegate') tasks back to the team. This promotes sustainable pace, prevents burnout, and empowers the rest of the team to step up and share the load.",
Which of the following would be the most appropriate action to take when trying to deliver value on an agile project?,multiple-choice,"Focusing on completing tasks as quickly as possible, regardless of quality",,Prioritizing the completion of tasks over the needs and expectations of stakeholders,,Neglecting to involve stakeholders in decision-making and planning processes,,"Collaborating with stakeholders to identify and prioritize the most valuable work, and regularly reviewing and adjusting the project plan to ensure that value is being delivered consistently",,,,,,4,"Delivering value on an agile project heavily relies on continuous stakeholder involvement. Collaborating with stakeholders helps identify what is most valuable, and regular reviews allow the project to adapt and ensure that value is consistently delivered.",
Which of the following would be the most appropriate action to take when managing change on an agile project?,multiple-choice,Ignoring or rejecting change requests from stakeholders,,Allowing changes to be made without properly assessing their impact on the project,,Implementing strict controls to prevent any changes from being made,,"Evaluating and incorporating changes in a controlled and systematic manner, ensuring that the impact on the project is understood and any necessary adjustments are made",,,,,,4,"Agile embraces change, but changes still need to be evaluated and incorporated in a controlled manner to understand their impact and adjust accordingly.",
A product owner on an agile project received feedback from the customer about a feature in the product. The feedback suggests that the feature is not meeting the customer's needs and needs to be redesigned. How should the product owner handle the situation?,multiple-choice,Ignore the feedback and move on to the next feature,,Immediately redesign the feature based on the customer's feedback,,Gather more feedback from other customers before making a decision,,Consult with the development team and stakeholders to determine the best course of action,,,,,,4,"As the Product Owner, it is important to consider the needs and feedback of customers, but it is also important to ensure that any changes to the product align with the overall vision and goals of the project. By consulting with the development team and stakeholders, you can gather a range of perspectives and come to a decision that takes into account the needs of the customer and the feasibility and impact of the proposed changes. Ignoring the feedback or immediately redesigning the feature without fully considering the implications could lead to unnecessary rework or deviations from the project's overall direction.",
"During the sprint planning on an agile project, the team identifies a potential risk that could impact the project's timeline and deliverables. The risk is related to the availability of a key third-party software that the team needs to complete a key feature. How should the team handle the situation?",multiple-choice,Ignore the risk and continue with the sprint planning as usual,,Escalate the risk to the ScrumMaster or project manager,,Try to find a workaround or alternative solution to the risk,,Consult with the development team and stakeholders to determine the best course of action,,,,,,4,"Identifying and managing risks is an important part of the agile process. By ignoring the risk or trying to find a workaround without fully considering the implications, you may not fully understand the impact it could have on the project. It is important to consult with the development team and stakeholders to assess the potential impact of the risk and determine the best course of action to mitigate or address it. This could include developing contingency plans or adjusting the project's timeline and deliverables to accommodate the risk. Escalating the risk to the ScrumMaster or project manager is also a good idea, as they can help facilitate the risk assessment process and ensure that appropriate action is taken.",
"A project team on an agile project is in the midst of a sprint. The team has been working on several tasks simultaneously, and the project manager has noticed that the team's work-in-progress (WIP) limit has been consistently exceeded. What is the best course of action to take in this situation?",multiple-choice,Continue working on all tasks as usual,,Prioritize the tasks and focus on completing the most important ones first,,Ask the product owner to prioritize and reevaluate the scope of the sprint,,Consult with the ScrumMaster or project manager about adjusting the WIP limit,,,,,,3,"Exceeding the WIP limit can indicate that the team is taking on too much work or that the scope of the sprint is not realistic. In this situation, it is important to address the root cause of the issue and adjust the scope of the sprint accordingly. Asking the product owner to prioritize and reevaluate the scope of the sprint allows the team to focus on the most important tasks and ensure that they are able to complete the work within the allotted time frame. Focusing on completing the most important tasks or consulting with the ScrumMaster or project manager about adjusting the WIP limit may provide some short-term relief, but they do not address the underlying issue of unrealistic scope. It is important to work with the product owner to ensure that the scope of the sprint is realistic and achievable.",
"A product owner in an agile project is trying to decide which features to include in the minimum viable product (MVP). There is a list of potential features that could be included, but the product owner is unsure which ones to prioritize. How should the product owner determine which features to include in the MVP?",multiple-choice,Include all of the features on the list,,Consult with the development team and stakeholders to get their input,,Survey customers to see which features they value the most,,Prioritize the features based on your personal preferences,,,,,,3,"As the Product Owner, it is important to prioritize the development of features that will provide the most value to customers. Surveying customers to understand their needs and preferences can help you determine which features to include in the MVP. Consulting with the development team and stakeholders can also provide valuable input, but it is important to consider the needs and preferences of the end users as well. Including all of the features on the list or prioritizing the features based on your personal preferences may not necessarily align with the needs of the customers and could result in a MVP that does not meet their expectations.",
A ScrumMaster in an agile project is trying to improve the team's throughput. Throughput is a measure of how much work the team is able to complete in a given time period. The ScrumMaster has identified that the team's current throughput is lower than expected and you want to increase it. What is the best course of action for the ScrumMaster to take in this situation?,multiple-choice,Increase the team's workload to improve throughput,,Consult with the development team and stakeholders to identify and address any bottlenecks or inefficiencies,,Bring in additional resources to help with the workload,,Shorten the sprint length to increase the pace of work,,,,,,2,"Increasing the team's workload or shortening the sprint length may not necessarily improve throughput and could potentially lead to burnout or poor quality work. Bringing in additional resources could help with the workload, but it may not address the root cause of the low throughput. It is important to consult with the development team and stakeholders to identify and address any bottlenecks or inefficiencies that may be impacting the team's ability to complete work efficiently. This could include streamlining processes, improving communication and collaboration, or addressing any roadblocks or obstacles that may be slowing down the team's progress. By addressing these issues, you can help improve the team's throughput and increase its overall productivity.",
"A project manager is working on a project that requires significant customization of the product for each client. The team is using a Scrum framework, but the project manager has noticed that some of the Scrum ceremonies and artifacts are not a good fit for the project's needs. What is the best course of action for the project manager to take in this situation?",multiple-choice,Continue using the Scrum framework as-is and try to make it work,,Consult with the ScrumMaster or project manager about tailoring the Scrum framework to better fit the project's needs,,Abandon the Scrum framework and switch to a different project management approach,,Ignore the issue and hope it goes away,,,,,,2,"Agile methodologies, including Scrum, are designed to be flexible and adaptable to the needs of the project. If some of the Scrum ceremonies or artifacts are not a good fit for the project's needs, it is important to consider tailoring them to better fit the project's requirements. This could include adjusting the duration or frequency of ceremonies, modifying the format or content of artifacts, or adding or removing elements as needed. Consulting with the ScrumMaster or project manager about tailoring the Scrum framework allows you to openly discuss the issue and come up with a solution that works for the team. Continuing to use the Scrum framework as-is or abandoning it entirely may not be the best solution, as it may not adequately address the project's unique needs. Ignoring the issue and hoping it goes away is not a viable solution, as it could lead to ongoing issues and inefficiencies within the project.",
"The product owner in an agile project is trying to optimize the team's workflow. In doing so, the product owner noticed that the team is frequently switching between tasks, which is impacting their productivity. The product owner believes that reducing the batch size of work (i.e., the number of tasks being worked on at a given time) could help improve the team's focus and productivity. As the Product Owner, what is the best course of action to take in this situation?",multiple-choice,Increase the batch size to allow the team to work on more tasks at once,,Reduce the batch size to improve the team's focus and productivity,,Leave the batch size as-is and focus on improving the team's time management skills,,Consult with the development team and stakeholders to determine the optimal batch size for the project,,,,,,4,"Reducing the batch size of work can help improve the team's focus and productivity by reducing the number of context switches and allowing the team to work on fewer tasks at a time. However, it is important to consider the specific needs and constraints of the project when determining the optimal batch size. Consulting with the development team and stakeholders allows you to gather a range of perspectives and come to a decision that takes into account the project's unique requirements. Increasing the batch size or leaving it as-is may not necessarily improve the team's productivity, and focusing solely on improving the team's time management skills may not address the root cause of the issue. It is important to consider the impact of batch size on the team's workflow and productivity and make adjustments as needed.",
"A ScrumMaster in an agile project just conducted the sprint retrospective. During the retrospective, the team identified several issues that impacted their ability to complete the work within the sprint. What should the ScrumMaster do next?",multiple-choice,Ignore the issues and move on to the next sprint,,Develop a plan to address the identified issues and present it to the team,,Consult with the development team and stakeholders to determine the root cause of the issues and develop a corrective action plan,,Implement a corrective action plan without consulting the team or stakeholders,,,,,,3,"The sprint retrospective is an important opportunity for the team to identify and address any issues that impacted their ability to complete the work within the sprint. Ignoring the issues and moving on to the next sprint does not address the root cause of the issues and could lead to ongoing problems within the project. Developing a plan to address the issues and presenting it to the team is a good start, but it is important to also consult with the development team and stakeholders to fully understand the root cause of the issues and develop a corrective action plan that addresses the underlying issues. Implementing a corrective action plan without consulting the team or stakeholders may not adequately address the root cause of the issues and could lead to resistance or pushback from the team. It is important to involve the team and stakeholders in the corrective action process to ensure that the plan is effective and addresses the root cause of the issues.",
A project manager for a software development project is using the agile project management approach. The project is entering the development phase and you have just received a request from a key stakeholder to add a new feature to the project. The stakeholder believes that the feature is critical to the success of the project and is willing to provide additional resources to help develop it. How should the project manager handle this request?,multiple-choice,Add the feature to the current sprint and adjust the scope accordingly,,Add the feature to the next sprint and adjust the scope accordingly,,Determine the impact of the feature on the project's timeline and deliverables,,"Decline the request, as adding a new feature at this stage would be too disruptive to the project",,,,,,3,"Agile project management approaches prioritize flexibility and adaptability, but it is important to carefully consider the impact of any changes to the project's scope. Adding a new feature to the current or next sprint without fully understanding the impact on the project's timeline and deliverables could potentially disrupt the project's progress and compromise the quality of the work. It is important to consult with the development team and stakeholders to determine the impact of the feature on the project's timeline and deliverables and determine the best course of action. This could include adjusting the scope of the current or next sprint, adding additional resources to help with the workload, or adjusting the project's timeline and deliverables to accommodate the new feature. Declining the request outright may not be the best solution, as the feature may be critical to the project's success. It is important to consider the needs and priorities of the stakeholders and work with the team to find a solution that meets the project's needs.",
"An agile project team is trying to calculate the team's velocity for the current sprint. The team has completed 10 user stories in the sprint, and each user story is worth 2 points. The team has also completed 1 technical task in the sprint, which is worth 3 points. What is the team's velocity for the current sprint?",multiple-choice,8 points,,10 points,,13 points,,23 points,,,,,,4,"To calculate the team's velocity for the current sprint, you can add up the total number of points for the completed user stories and technical tasks. In this case, the team has completed 10 user stories worth 2 points each, for a total of 10 * 2 = 20 points. The team has also completed 1 technical task worth 3 points, for a total of 3 points. The team's velocity for the current sprint is therefore 20 + 3 = 23 points.",
"A project team is in the middle of the first iteration on an agile project. The team is using a Kanban board to map work in progress for the iteration. However, the project sponsor insists to put all work from the product backlog into the Kanban board in order to get the full picture of all work. Which of the following reasons should the project manager mention to the sponsor that goes contrary to the principles of Kanban practice?",multiple-choice,Limiting the number of items in progress at any given time,,Regularly reviewing and adjusting the project roadmap,,Allowing for unlimited work in progress,,Using a visual board to track the progress of tasks,,,,,,3,Kanban limits WIP so that the teams can focus on work and deliver with quality,
Which of the following is not one of the values listed in the Agile Manifesto?,multiple-choice,Individuals and interactions over processes and tools,,Working software over comprehensive documentation,,Customer collaboration over contract negotiation,,Responding to change over following a plan,,Efficiency over effectiveness,,,,5,,
Which of the following is NOT a common activity that occurs during the sprint in an agile environment?,multiple-choice,Planning the work for the sprint,,Reviewing and demonstrating the completed work to the customer,,Retrospecting on the previous sprint and identifying areas for improvement,,Setting long-term goals for the project,,,,,,4,"Long-term goals are not set during sprint planning in Agile because the Agile methodology is based on adaptive planning and continuous improvement. Agile projects operate in an environment where requirements and priorities can change frequently, and new information becomes available as the project progresses. As such, it is difficult to predict what the long-term goals of the project will be, and setting them in stone during sprint planning can lead to inflexibility and missed opportunities for adaptation and improvement. Instead, Agile projects set short-term goals during sprint planning that are achievable within the timeframe of the sprint, typically two to four weeks. This approach allows the team to remain focused and prioritize work based on current needs and requirements, while maintaining flexibility to adjust their goals as the project evolves. By continuously reassessing their progress and adapting their goals and plans, Agile teams can achieve better results and deliver more value to their stakeholders.",
Which of the following is not one of the values listed in the Agile Manifesto?,multiple-choice,Individuals and interactions over processes and tools,,Working software over comprehensive documentation,,Customer collaboration over contract negotiation,,Responding to change over following a plan,,Efficiency over effectiveness,,,,5,'Efficiency over effectiveness' is not an Agile Manifesto value. The other four options correctly represent the four core values of the Agile Manifesto.,
Which of the following is NOT a common activity that occurs during the sprint in an agile environment?,multiple-choice,Planning the work for the sprint,,Reviewing and demonstrating the completed work to the customer,,Retrospecting on the previous sprint and identifying areas for improvement,,Setting long-term goals for the project,,,,,,4,"Setting long-term goals is a strategic activity that usually occurs outside of individual sprints, typically during release planning or roadmap development.",
Which of the following is a common practice that occurs at the end of an iteration in an agile project after the increment has been shown to the customer?,multiple-choice,Planning the work for the next iteration,,Reviewing and demonstrating the completed work to the customer,,Retrospecting on the previous iteration and identifying areas for improvement,,Conducting a post-mortem analysis on the overall project,,Holding daily stand-up meetings to discuss progress and identify any blockers,,,,3,"After demonstrating the increment at the Sprint Review, the team holds a Sprint Retrospective to identify areas for improvement before planning the next iteration.",
"The development team for an agile project is planning the work for the next sprint and has identified a task that is dependent on an uncertain event. The event has a high likelihood of occurring, but there is a small chance that it may not happen. Which of the following is the most appropriate course of action for the team to take?",multiple-choice,Plan for the event to occur and include the dependent task in the sprint.,,Plan for the event not to occur and exclude the dependent task from the sprint.,,Identify a contingency plan in case the event does not occur and include the dependent task in the sprint.,,Exclude the dependent task from the sprint and wait until the event occurs to plan for it.,,,,,,3,,
Which of the following is the most appropriate course of action for a development team to take when faced with scope creep in an agile project?,multiple-choice,Ignore the scope creep and continue working on the original plan.,,Immediately implement the scope creep without discussing it with the rest of the team or the product owner.,,"Discuss the scope creep with the product owner and the rest of the team, and determine the best course of action based on the impact on the project schedule and budget.",,Automatically add the scope creep to the sprint without considering the impact on the project schedule and budget.,,,,,,3,,
"The development team for an agile project is planning the work for the next sprint and has identified a task that is dependent on an uncertain event. The event has a high likelihood of occurring, but there is a small chance that it may not happen. Which of the following is the most appropriate course of action for the team to take?",multiple-choice,Plan for the event to occur and include the dependent task in the sprint.,,Plan for the event not to occur and exclude the dependent task from the sprint.,,Identify a contingency plan in case the event does not occur and include the dependent task in the sprint.,,Exclude the dependent task from the sprint and wait until the event occurs to plan for it.,,,,,,3,"By identifying a contingency plan and still including the task, the team remains proactive and prepared without completely halting progress.",
Which of the following is the most appropriate course of action for a development team to take when faced with scope creep in an agile project?,multiple-choice,Ignore the scope creep and continue working on the original plan.,,Immediately implement the scope creep without discussing it with the rest of the team or the product owner.,,"Discuss the scope creep with the product owner and the rest of the team, and determine the best course of action based on the impact on the project schedule and budget.",,Automatically add the scope creep to the sprint without considering the impact on the project schedule and budget.,,,,,,3,Changes in scope must be discussed with the product owner and team to evaluate their impact and make an informed decision on how to proceed.,
An agile project is coming to an end and is in the last sprint with almost all tasks completed. The project sponsor asks the team to move the deadline for the project up by two weeks. What should be the ideal response from the team in this situation?,multiple-choice,"Sure, we can move the deadline up by two weeks. We have plenty of time left in the sprint.",,"""We can't move the deadline up by two weeks, we need to stick to the original plan.""",,"""I'm not sure. Let's check with the rest of the team to see if they have capacity to take on the additional work.""",,"""We can't move the deadline up by two weeks without adjusting the scope of the commitments we made for this sprint. Let's discuss the options for adjusting the scope and see if it's feasible to meet the new deadline.""",,,,,,4,"In agile, time and cost are often fixed, while scope is flexible. If the deadline moves up, the scope of remaining work needs to be adjusted accordingly through a discussion with stakeholders.",
"The development team for an agile project is working on a project that is subject to strict government regulations. The team has just learned that they need to implement an additional feature that is required by the regulations, but they are not sure how to fit it into the current sprint. Which of the following is the most appropriate course of action for the team to take?",multiple-choice,Ignore the regulations and continue working on the original plan.,,Implement the additional feature without discussing it with the rest of the team or the product owner.,,"Discuss the additional feature with the product owner and the rest of the team, and determine the best course of action based on the impact on the project schedule and budget.",,Automatically add the additional feature to the sprint without considering the impact on the project schedule and budget.,,,,,,3,"Compliance features are mandatory, but their inclusion must still be managed through standard agile practices by discussing with the product owner to adjust priorities and schedule appropriately.",
